student details data:       student_id         full_name department  batch  current_semester
167          168      Krishna Bhat         CE   2022                 6
168          169       Manya Joshi         CE   2021                 3
169          170       Ritika Bhat        MBA   2023                 8
170          171    Rohan Malhotra        BCA   2022                 5
171          172        Diya Bhatt         ME   2023                 8
172          173         Manya Rao        CSE   2022                 6
173          174        Neha Joshi        BCA   2020                 1
174          175       Sneha Gupta        CSE   2023                 7
175          176        Diya Joshi         CE   2023                 8
176          177      Krishna Nair        CSE   2022                 5
177          178       Manya Menon        CSE   2021                 4
178          179        Neha Mehta        MBA   2022                 6
179          180      Karan Chopra        CSE   2023                 8
180          181      Vihaan Patel        CSE   2023                 8
181          182         Pooja Rao        CSE   2021                 4
182          183        Diya Verma        CSE   2023                 8
183          184      Pooja Kapoor        CSE   2023                 7
184          185       Ananya Iyer        CSE   2021                 4
185          186    Manya Malhotra        BCA   2023                 8
186          187        Nidhi Bhat        CSE   2023                 8
187          188       Rohan Desai        CSE   2023                 7
188          189       Manya Desai        CSE   2023                 8
189          190      Vihaan Patel        MBA   2023                 7
190          191       Arjun Verma         ME   2023                 8
191          192       Aisha Gupta        CSE   2021                 4
192          193       Manya Singh        CSE   2023                 8
193          194       Samar Verma         CE   2021                 4
194          195      Ishaan Patel        CSE   2020                 2
195          196        Nidhi Bhat         CE   2021                 4
196          197      Vihaan Mehta        CSE   2021                 3
197          198      Vihaan Verma        BCA   2020                 3
198          199       Arjun Menon        MBA   2021                 3
199          200        Aisha Nair        CSE   2022                 5
200          201       Rohan Mehta        BCA   2021                 4
201          202      Aditya Joshi        CSE   2022                 5
202          203      Ritika Joshi        CSE   2022                 7
203          204        Sneha Khan        BCA   2022                 6
204          205      Aisha Sharma        MBA   2023                 8
205          206       Ritika Khan        CSE   2023                 8
206          207     Krishna Bhatt        BCA   2021                 4
207          208       Rohan Patel         ME   2023                 8
208          209      Aarav Chopra        MBA   2022                 7
209          210     Krishna Sinha        CSE   2021                 4
210          211        Aisha Nair        CSE   2023                 8
211          212       Aarav Verma        MBA   2023                 8
212          213       Ishaan Nair        CSE   2022                 6
213          214       Arjun Joshi        BCA   2020                 2
214          215       Rahul Joshi        BCA   2023                 8
215          216        Samar Khan        CSE   2023                 8
216          217      Manya Chopra        BCA   2022                 6
217          218      Vihaan Gupta        BCA   2021                 3
218          219       Pooja Sinha         ME   2022                 6
219          220     Ritika Chopra        CSE   2022                 6
220          221    Arjun Malhotra        CSE   2021                 3
221          222      Manya Sharma         ME   2023                 7
222          223       Rohan Joshi        CSE   2022                 7
223          224        Diya Verma         CE   2023                 8
224          225      Ritika Gupta        CSE   2023                 8
225          226       Nidhi Singh        CSE   2023                 8
226          227       Ritika Iyer        CSE   2022                 7
227          228        Aarav Iyer         CE   2021                 4
228          229        Aarav Khan        MBA   2020                 2
229          230      Ritika Yadav        BCA   2021                 3
230          231       Ritika Iyer        BCA   2022                 7
231          232       Ananya Khan        CSE   2021                 4
232          233        Aditya Rao         CE   2022                 6
233          234       Manya Gupta        CSE   2021                 5
234          235      Nidhi Sharma        BCA   2021                 4
235          236       Karan Singh        CSE   2022                 5
236          237       Rohan Gupta        MBA   2020                 3
237          238       Rahul Joshi        BCA   2023                 7
238          239      Samar Kapoor         ME   2022                 7
239          240         Nidhi Rao        BCA   2023                 8
240          241   Ritika Malhotra        CSE   2021                 4
241          242        Karan Khan        BCA   2021                 3
242          243       Diya Chopra         ME   2022                 7
243          244        Arjun Nair         ME   2023                 8
244          245        Samar Bhat        BCA   2021                 4
245          246        Pooja Bhat        BCA   2023                 8
246          247      Ritika Gupta        MBA   2023                 8
247          248        Diya Desai        MBA   2021                 5
248          249    Priya Malhotra        CSE   2023                 7
249          250       Priya Patel         CE   2020                 1
250          251      Ishaan Patel        MBA   2022                 6
251          252       Aarav Gupta        BCA   2022                 6
252          253       Priya Mehta        CSE   2023                 8
253          254        Diya Yadav        CSE   2020                 1
254          255      Karan Kapoor        CSE   2023                 8
255          256      Ritika Sinha        CSE   2022                 6
256          257       Arjun Mehta         CE   2022                 5
257          258       Aisha Menon        MBA   2023                 8
258          259         Diya Nair        BCA   2021                 5
259          260      Ananya Menon         ME   2023                 8
260          261      Vihaan Verma        BCA   2023                 8
261          262       Sneha Mehta        MBA   2023                 7
262          263     Krishna Menon        CSE   2022                 6
263          264       Arjun Menon        CSE   2023                 8
264          265        Neha Mehta        CSE   2022                 6
265          266       Arjun Patel        CSE   2022                 7
266          267      Aisha Sharma         ME   2023                 8
267          268      Aditya Bhatt        CSE   2022                 6
268          269         Nidhi Rao         ME   2020                 2
269          270     Ishaan Kapoor        MBA   2021                 3
270          271   Aditya Malhotra         CE   2023                 7
271          272       Aarav Verma        CSE   2023                 7
272          273      Priya Chopra         CE   2021                 5
273          274        Arjun Bhat        CSE   2020                 2
274          275      Vihaan Patel        CSE   2022                 7
275          276       Ananya Bhat         CE   2023                 8
276          277       Aisha Gupta        BCA   2022                 7
277          278       Ritika Nair        CSE   2023                 8
278          279        Aarav Nair         CE   2020                 2
279          280       Vihaan Iyer        CSE   2023                 8
280          281       Arjun Mehta        MBA   2023                 8
281          282        Neha Bhatt         ME   2020                 2
282          283       Pooja Gupta        MBA   2023                 8
283          284        Diya Yadav         CE   2020                 1
284          285      Vihaan Patel        BCA   2022                 5
285          286       Vihaan Nair         ME   2021                 4
286          287    Manya Malhotra        CSE   2022                 6
287          288       Manya Gupta        BCA   2022                 5
288          289     Aditya Chopra         CE   2023                 8
289          290        Priya Khan        CSE   2020                 3
290          291       Pooja Sinha        BCA   2021                 3
291          292         Samar Rao        CSE   2023                 7
292          293       Arjun Singh        CSE   2022                 5
293          294        Diya Gupta        CSE   2023                 8
294          295       Priya Bhatt        MBA   2023                 7
295          296        Neha Bhatt        MBA   2020                 2
296          297      Ananya Joshi        CSE   2020                 2
297          298        Pooja Khan        BCA   2023                 8
298          299       Ananya Nair        MBA   2022                 5
299          300     Krishna Singh        CSE   2020                 1
300          301      Arjun Kapoor         CE   2023                 7
301          302      Rohan Kapoor         CE   2020                 2
302          303        Rahul Nair        MBA   2020                 2
303          304      Ritika Menon        CSE   2023                 8
304          305      Ishaan Bhatt        CSE   2021                 4
305          306         Aisha Rao        BCA   2021                 4
306          307      Sneha Sharma        CSE   2022                 6
307          308        Ananya Rao         CE   2021                 4
308          309         Samar Rao        CSE   2022                 6
309          310      Nidhi Chopra        BCA   2021                 3
310          311    Manya Malhotra         ME   2020                 2
311          312         Rohan Rao        CSE   2020                 2
312          313        Nidhi Iyer        MBA   2023                 7
313          314    Krishna Sharma        CSE   2023                 8
314          315       Rahul Joshi        BCA   2021                 4
315          316       Karan Patel         ME   2020                 2
316          317      Ishaan Desai        CSE   2023                 8
317          318        Karan Nair        BCA   2021                 5
318          319      Pooja Kapoor        MBA   2020                 3
319          320     Ananya Chopra        CSE   2023                 8
320          321       Samar Joshi        CSE   2022                 5
321          322      Vihaan Joshi         ME   2022                 6
322          323        Neha Bhatt         CE   2023                 8
323          324       Aarav Mehta         CE   2021                 4
324          325        Rohan Bhat        BCA   2021                 4
325          326        Samar Khan        CSE   2021                 4
326          327       Manya Patel         CE   2022                 7
327          328       Rahul Yadav        MBA   2023                 8
328          329        Diya Desai        CSE   2022                 5
329          330        Diya Singh        BCA   2023                 8
330          331       Nidhi Singh        CSE   2022                 5
331          332        Sneha Iyer        CSE   2022                 6
332          333      Vihaan Sinha        CSE   2021                 4
333          334      Ritika Yadav         ME   2023                 8
334          335        Manya Iyer        MBA   2021                 4
335          336        Aisha Nair        CSE   2022                 6
336          337         Arjun Rao         CE   2020                 3
337          338       Sneha Verma        CSE   2021                 3
338          339        Manya Khan         ME   2023                 8
339          340        Aisha Khan        CSE   2023                 8
340          341        Samar Khan         CE   2023                 8
341          342     Ritika Chopra        MBA   2023                 8
342          343    Krishna Kapoor         ME   2020                 3
343          344     Vihaan Sharma         ME   2023                 7
344          345       Aarav Bhatt        BCA   2021                 5
345          346       Aisha Joshi         CE   2023                 8
346          347       Vihaan Bhat        CSE   2023                 8
347          348       Manya Bhatt        CSE   2021                 4
348          349       Pooja Verma        CSE   2022                 5
349          350   Ritika Malhotra        CSE   2022                 7
350          351      Arjun Kapoor        MBA   2021                 3
351          352     Aditya Sharma        MBA   2023                 8
352          353       Pooja Gupta        BCA   2023                 8
353          354     Diya Malhotra        CSE   2023                 8
354          355       Samar Verma        CSE   2020                 2
355          356      Vihaan Gupta        CSE   2022                 6
356          357       Neha Sharma         CE   2020                 2
357          358      Ishaan Desai        CSE   2023                 7
358          359      Sneha Chopra        CSE   2023                 8
359          360       Rohan Gupta         ME   2023                 8
360          361       Sneha Joshi        BCA   2023                 8
361          362        Samar Nair        BCA   2022                 5
362          363       Karan Desai        CSE   2021                 4
363          364      Vihaan Desai         CE   2022                 5
364          365       Arjun Sinha        CSE   2022                 6
365          366       Rahul Yadav         ME   2023                 8
366          367    Karan Malhotra        MBA   2023                 8
367          368      Aisha Chopra        MBA   2020                 1
368          369        Manya Iyer        CSE   2020                 2
369          370       Manya Gupta        CSE   2022                 6
370          371       Rohan Yadav        CSE   2023                 8
371          372        Samar Bhat         ME   2023                 8
372          373     Ishaan Kapoor        BCA   2020                 2
373          374    Sneha Malhotra         CE   2023                 7
374          375       Rahul Mehta        CSE   2020                 1
375          376    Arjun Malhotra        CSE   2022                 7
376          377       Arjun Sinha        CSE   2022                 5
377          378        Samar Bhat         ME   2023                 8
378          379     Krishna Sinha        CSE   2021                 3
379          380       Sneha Verma        CSE   2023                 7
380          381       Ishaan Khan        CSE   2023                 8
381          382     Krishna Bhatt         ME   2021                 5
382          383        Pooja Iyer        BCA   2021                 3
383          384       Sneha Gupta         ME   2022                 6
384          385      Aditya Bhatt        MBA   2023                 8
385          386      Aarav Sharma        BCA   2020                 2
386          387        Aarav Khan        MBA   2022                 5
387          388       Nidhi Menon        MBA   2020                 3
388          389        Samar Khan        CSE   2022                 6
389          390      Krishna Khan        MBA   2023                 7
390          391         Neha Bhat         CE   2023                 8
391          392       Rohan Yadav        CSE   2020                 3
392          393       Ananya Nair         ME   2023                 7
393          394        Pooja Iyer         ME   2022                 5
394          395     Ishaan Chopra        CSE   2023                 8
395          396      Ishaan Desai         ME   2023                 8
396          397         Diya Iyer        CSE   2022                 6
397          398       Ishaan Iyer         ME   2020                 2
398          399       Samar Patel        BCA   2023                 8
399          400   Aditya Malhotra        CSE   2023                 8
400          401      Ananya Patel        CSE   2022                 7
401          402    Krishna Kapoor         CE   2023                 7
402          403      Aarav Chopra        CSE   2021                 4
403          404       Aisha Singh        CSE   2022                 7
404          405         Neha Nair        CSE   2022                 5
405          406      Nidhi Sharma        CSE   2021                 4
406          407       Sneha Mehta        CSE   2021                 4
407          408       Sneha Yadav        BCA   2023                 8
408          409       Rohan Bhatt        CSE   2021                 3
409          410      Ritika Joshi        CSE   2022                 5
410          411       Diya Sharma        BCA   2020                 2
411          412       Rahul Desai        CSE   2023                 8
412          413       Rohan Desai        CSE   2022                 6
413          414       Pooja Joshi         ME   2022                 6
414          415      Samar Chopra        BCA   2020                 3
415          416      Manya Chopra        BCA   2021                 4
416          417       Aditya Khan        CSE   2023                 8
417          418      Ishaan Desai        BCA   2021                 5
418          419      Aditya Joshi        CSE   2023                 7
419          420     Krishna Singh         ME   2023                 8
420          421      Rohan Sharma        CSE   2023                 7
421          422       Nidhi Patel         CE   2022                 6
422          423       Priya Sinha        MBA   2022                 7
423          424      Manya Kapoor         CE   2022                 5
424          425        Karan Nair        CSE   2023                 7
425          426        Priya Nair         CE   2023                 8
426          427      Priya Sharma        CSE   2021                 4
427          428         Karan Rao        CSE   2021                 4
428          429      Ritika Menon         CE   2022                 6
429          430        Pooja Iyer        CSE   2022                 6
430          431    Aarav Malhotra        MBA   2020                 3
431          432        Samar Nair        CSE   2023                 8
432          433       Nidhi Singh        MBA   2022                 7
433          434        Aarav Nair        CSE   2021                 4
434          435       Nidhi Sinha        CSE   2022                 6
435          436        Priya Nair        CSE   2023                 7
436          437    Karan Malhotra        CSE   2022                 7
437          438        Neha Bhatt        MBA   2023                 7
438          439      Ishaan Menon        MBA   2023                 8
439          440       Aisha Bhatt        BCA   2021                 5
440          441       Ananya Iyer         CE   2022                 6
441          442       Ritika Iyer        MBA   2022                 6
442          443       Aarav Desai        BCA   2023                 8
443          444       Sneha Patel         ME   2021                 4
444          445      Ishaan Menon        CSE   2022                 7
445          446        Karan Khan        CSE   2022                 6
446          447    Aarav Malhotra        MBA   2022                 6
447          448       Karan Mehta        CSE   2023                 8
448          449        Diya Joshi        CSE   2023                 8
449          450       Samar Verma        BCA   2023                 8
450          451     Ishaan Kapoor        CSE   2022                 7
451          452      Vihaan Mehta        MBA   2021                 5
452          453     Aditya Kapoor        CSE   2023                 8
453          454    Sneha Malhotra        CSE   2021                 5
454          455      Vihaan Sinha        MBA   2023                 8
455          456      Krishna Bhat        MBA   2023                 8
456          457       Arjun Yadav        CSE   2023                 8
457          458        Neha Desai        CSE   2022                 7
458          459        Aarav Khan        CSE   2022                 6
459          460       Karan Singh        BCA   2021                 5
460          461      Ritika Sinha        CSE   2023                 8
461          462      Nidhi Chopra        CSE   2022                 5
462          463       Karan Singh        CSE   2022                 6
463          464    Arjun Malhotra        MBA   2022                 6
464          465       Arjun Yadav         CE   2020                 1
465          466       Sneha Yadav        CSE   2022                 5
466          467       Aarav Gupta        CSE   2023                 8
467          468      Ishaan Patel        CSE   2023                 8
468          469      Aarav Kapoor        CSE   2021                 4
469          470      Krishna Nair        CSE   2023                 8
470          471       Samar Singh        CSE   2023                 7
471          472       Pooja Bhatt        MBA   2023                 8
472          473      Nidhi Chopra        BCA   2021                 4
473          474        Manya Khan         ME   2022                 6
474          475       Pooja Mehta        CSE   2022                 7
475          476       Nidhi Verma        CSE   2023                 8
476          477      Karan Chopra        CSE   2021                 4
477          478       Ritika Nair         ME   2023                 7
478          479         Diya Nair        BCA   2021                 3
479          480       Rohan Menon        CSE   2022                 6
480          481        Manya Iyer        MBA   2023                 7
481          482        Arjun Nair        CSE   2021                 4
482          483      Aditya Singh         ME   2022                 6
483          484       Aditya Iyer        CSE   2022                 7
484          485       Manya Sinha        CSE   2020                 3
485          486      Vihaan Gupta         ME   2021                 4
486          487         Diya Nair        CSE   2022                 7
487          488       Rohan Patel        CSE   2020                 3
488          489       Manya Menon        CSE   2021                 4
489          490        Samar Nair        BCA   2020                 2
490          491    Sneha Malhotra        CSE   2023                 8
491          492      Aditya Joshi        MBA   2021                 3
492          493      Pooja Sharma        MBA   2022                 7
493          494      Ritika Verma         CE   2021                 3
494          495     Neha Malhotra        CSE   2022                 6
495          496      Aditya Bhatt        BCA   2022                 5
496          497         Diya Nair         ME   2022                 7
497          498      Karan Kapoor        CSE   2021                 5
498          499        Diya Verma         CE   2022                 6
499          500         Diya Bhat        BCA   2022                 5
500          501       Ananya Khan        MBA   2020                 1
501          502      Vihaan Desai        CSE   2022                 5
502          503       Pooja Sinha        CSE   2022                 5
503          504       Priya Yadav        CSE   2023                 8
504          505       Sneha Mehta        CSE   2023                 7
505          506      Rohan Sharma        MBA   2023                 8
506          507     Krishna Desai        CSE   2021                 4
507          508        Aisha Nair        CSE   2022                 6
508          509         Pooja Rao        BCA   2023                 8
509          510    Rohan Malhotra        CSE   2022                 5
510          511      Vihaan Gupta         ME   2023                 8
511          512     Krishna Mehta         CE   2021                 3
512          513        Rohan Nair        MBA   2023                 8
513          514       Rahul Bhatt        CSE   2020                 2
514          515       Rahul Bhatt        CSE   2020                 2
515          516         Rahul Rao        BCA   2021                 3
516          517       Rohan Gupta        BCA   2020                 2
517          518        Arjun Khan         ME   2022                 6
518          519       Vihaan Bhat        CSE   2020                 3
519          520        Arjun Iyer        CSE   2020                 1
520          521        Rohan Khan        BCA   2021                 5
521          522        Diya Joshi         CE   2021                 3
522          523       Samar Patel        CSE   2020                 2
523          524      Ishaan Patel         ME   2023                 7
524          525       Nidhi Mehta        CSE   2023                 7
525          526      Vihaan Gupta         CE   2021                 4
526          527       Rohan Joshi        MBA   2023                 8
527          528      Ishaan Patel        CSE   2022                 6
528          529      Rohan Kapoor        MBA   2022                 6
529          530       Manya Bhatt        CSE   2022                 6
530          531      Ananya Menon        MBA   2023                 8
531          532      Karan Sharma         ME   2023                 8
532          533        Sneha Iyer        BCA   2023                 8
533          534      Ritika Bhatt         ME   2021                 5
534          535        Aisha Bhat        MBA   2023                 7
535          536      Pooja Chopra         CE   2020                 2
536          537         Samar Rao        CSE   2022                 5
537          538      Vihaan Gupta        BCA   2023                 8
538          539       Ishaan Khan        CSE   2023                 7
539          540       Rohan Menon        MBA   2022                 5
540          541       Arjun Bhatt         CE   2023                 8
541          542       Ishaan Nair        CSE   2022                 5
542          543      Aditya Gupta        BCA   2023                 8
543          544    Rahul Malhotra        BCA   2023                 8
544          545        Arjun Bhat        BCA   2023                 8
545          546         Neha Bhat        CSE   2022                 5
546          547      Aisha Kapoor         CE   2022                 6
547          548      Nidhi Sharma         CE   2022                 7
548          549        Diya Verma         CE   2023                 7
549          550       Sneha Sinha        CSE   2023                 8
550          551      Vihaan Singh        MBA   2022                 7
551          552       Karan Verma        BCA   2022                 7
552          553      Aditya Desai        MBA   2023                 8
553          554       Nidhi Gupta        CSE   2022                 5
554          555       Pooja Patel        CSE   2022                 7
555          556        Diya Mehta        CSE   2022                 7
556          557       Rohan Verma        MBA   2023                 8
557          558     Diya Malhotra        CSE   2022                 6
558          559       Rohan Menon        CSE   2023                 8
559          560      Karan Sharma        BCA   2022                 6
560          561      Ritika Singh        BCA   2022                 6
561          562       Manya Verma        CSE   2023                 7
562          563      Sneha Chopra        CSE   2022                 7
563          564       Manya Singh        MBA   2022                 5
564          565        Neha Patel        CSE   2022                 6
565          566    Sneha Malhotra         CE   2023                 8
566          567        Rohan Khan        BCA   2023                 8
567          568       Aarav Singh         ME   2023                 8
568          569      Aditya Joshi        CSE   2022                 5
569          570       Sneha Bhatt         ME   2020                 1
570          571       Pooja Menon        MBA   2023                 8
571          572    Krishna Kapoor        CSE   2023                 8
572          573     Ishaan Chopra        CSE   2022                 6
573          574       Karan Joshi        CSE   2021                 5
574          575      Aisha Kapoor        CSE   2021                 4
575          576      Ananya Bhatt        BCA   2022                 5
576          577    Krishna Kapoor         CE   2022                 7
577          578      Aditya Singh        BCA   2020                 2
578          579       Ritika Bhat         ME   2021                 4
579          580       Pooja Joshi        BCA   2023                 8
580          581        Manya Khan         CE   2023                 8
581          582      Aditya Gupta        CSE   2022                 6
582          583      Vihaan Singh        MBA   2020                 2
583          584       Ananya Nair        BCA   2023                 8
584          585        Diya Mehta        CSE   2023                 8
585          586       Priya Desai         CE   2022                 6
586          587      Priya Kapoor        BCA   2022                 6
587          588     Aditya Sharma        MBA   2022                 6
588          589      Vihaan Singh        CSE   2022                 7
589          590       Priya Yadav        CSE   2022                 6
590          591     Aditya Sharma        MBA   2022                 7
591          592         Aarav Rao        CSE   2021                 3
592          593      Rohan Sharma        MBA   2022                 6
593          594      Rohan Sharma        CSE   2021                 4
594          595        Nidhi Khan        BCA   2023                 8
595          596        Nidhi Khan        MBA   2021                 4
596          597       Samar Joshi        CSE   2023                 8
597          598         Neha Bhat        CSE   2020                 1
598          599      Samar Sharma        CSE   2023                 7
599          600       Samar Mehta        BCA   2023                 8
600          601         Priya Rao        CSE   2021                 3
601          602    Manya Malhotra        CSE   2022                 6
602          603       Aarav Gupta         ME   2021                 3
603          604        Sneha Khan        CSE   2022                 7
604          605        Arjun Nair        CSE   2023                 8
605          606      Aisha Kapoor        CSE   2020                 2
606          607    Nidhi Malhotra        CSE   2022                 6
607          608       Karan Sinha        CSE   2022                 7
608          609     Krishna Desai         CE   2022                 7
609          610       Nidhi Patel        CSE   2020                 2
610          611     Krishna Singh        CSE   2021                 3
611          612       Aarav Gupta        CSE   2023                 7
612          613         Rahul Rao        MBA   2022                 6
613          614        Arjun Bhat        CSE   2020                 1
614          615       Samar Bhatt        CSE   2022                 6
615          616      Rohan Chopra         ME   2022                 7
616          617         Aisha Rao        CSE   2021                 3
617          618       Diya Sharma        CSE   2022                 6
618          619        Diya Patel        CSE   2021                 4
619          620       Priya Yadav         CE   2023                 7
620          621    Arjun Malhotra         ME   2021                 4
621          622        Neha Menon        MBA   2023                 7
622          623       Neha Chopra         CE   2023                 8
